카테고리(대),카테고리(중),컬럼명,한글명(보기편하게),변수설명(요약),담당자,필요유무,주요한 변수 파악(어떤 변수가 의미있어 보였는지)
건강행태,간접흡연,smc_10z2,직장 간접흡연 노출,"최근 1주일 직장 실내 간접흡연 경험 (1.예, 2.아니오, 3.직장 없음)",,Y,가설: 직장 간접흡연 → 사회적 흡연 압력 → 금연 실패 가능성. 직업환경이 금연에 미치는 영향
건강행태,음주,dra_01z1,평생 음주 여부,"1:Y, 2:N, 7: 응답거부",pdoyeon,Y,
건강행태,음주,drb_01z3,연간 음주 빈도,"7: 응답거부, 8: 비해당, 9: 모름",,Y,(완료) 가설: 금연 성공한 사람은 음주 빈도도 낮을 것이다
건강행태,음주,drb_03z1,한 번 섭취 시 음주량,위와 동일,,Y,
건강행태,음주,drb_16z1,10잔 이상 섭취 시 음주량,__잔,,Y,필요 없는 칼럼
건강행태,음주,drb_04z1,월간 폭음 경험(남),"7, 8, 9",,Y,
건강행태,음주,drb_05z1,월간 폭음 경험(여),"7, 8, 9",,Y,
건강행태,음주,drg_01z3,절주 또는 금주계획 여부,"7, 8, 9",,Y,
건강행태,음주,dre_03z1,음주폐해 예방 또는 절주에 대한 홍보 경험 여부,,,Y,(완료) 가설: 홍보or교육 경험이 있는 사람 중 음주를 1년간 안 한 사람의 비율이 그 반대보다 높을 것 -> 유의미한 결과 X
건강행태,음주,dre_04z1,음주폐해 예방 또는 절주에 대한 교육 경험 여부,,,Y,
건강행태,안전의식,sfa_02z3,,,,N,
건강행태,안전의식,sfb_05z2,,,,N,
건강행태,안전의식,sfa_12z2,,,,N,
건강행태,안전의식,sfb_07z1,,,,N,
건강행태,안전의식,sfa_06z2,,,,N,
건강행태,안전의식,sfb_03z2,,,,N,
건강행태,안전의식,sfa_08z2,,,,N,
건강행태,신체활동,pha_04z1,고강도 신체활동 일수,__일,,Y,
건강행태,신체활동,pha_05z1,고강도 신체활동 시간(시),__시간,,Y,
건강행태,신체활동,pha_06z1,고강도 신체활동 시간(분),__분,,Y,
건강행태,신체활동,pha_07z1,중강도 신체활동 일수,_일,,Y,
건강행태,신체활동,pha_08z1,중강도 신체활동 시간(시),__시간,,Y,
건강행태,신체활동,pha_09z1,중강도 신체활동 시간(분),__분,,Y,
건강행태,신체활동,phb_01z1,걷기 실천 일수,_일,,Y,
건강행태,신체활동,phb_02z1,걷기 실천 시간(시),__시간,,Y,
건강행태,신체활동,phb_03z1,걷기 실천 시간(분),__분,,Y,
건강행태,신체활동,pha_11z1,최근 1주일 유연성 운동 실천,,,Y,
건강행태,식생활,nua_01z2,아침식사빈도,"1=주5~7회, 2=주3~4회, 3=주1~2회, 4=거의안함(주0회)",Sang,Y,→ 아침식사 빈도가 적을수록 건강행태가 불규칙할 가능성 → 흡연과도 상관성 검토
건강행태,식생활,nuc_02z1,영양표시설인지여부,"1=예, 2=아니요",,Y,1-1
건강행태,식생활,nuc_01z2,영양표시읽기여부,"1=예, 2=아니요",,Y,1-1
건강행태,식생활,nuc_03z1,영양표시영향여부,"1=예, 2=아니요",,Y,1-1→ 건강에 대한 관심도/인지도를 나타내는 지표 → 흡연과 음의 상관(건강 관심 높으면 흡연율↓) 예상
건강행태,비만및체중조절,oba_02z1,신장_cm,cm 단위,,Y,1-2
건강행태,비만및체중조절,oba_03z1,체중_kg,kg 단위,,Y,1-2
건강행태,비만및체중조절,oba_bmi,체질량지수_BMI,"체중(kg) ÷ (신장(cm)/100)², 저체중 <18.5, 정상 18.5–24.9, 과체중 25–29.9, 비만 ≥30",,Y,1-2 → 흡연자의 BMI는 일반적으로 비흡연자보다 낮게 나오는 경향 있음 **니코틴의 식욕억제 + 대사량 증가 비흡연자보다 평균적으로 BMI가 낮게 나오는 경향이 있음
건강행태,비만및체중조절,oba_01z1,체형인지(자기평가),"1=매우마름, 2=약간마름, 3=보통, 4=약간비만, 5=매우비만",,Y,1-3
건강행태,비만및체중조절,obb_01z1,체중조절시도여부,"1=예, 2=아니요",,Y,1-3 → 금연 시 체중 증가에 대한 걱정과 연결
건강행태,비만및체중조절,obb_02a1,체중조절방법_운동,"1=예, 2=아니요",,Y,1-4
건강행태,비만및체중조절,obb_02b1,체중조절방법_단식,"1=예, 2=아니요",,Y,"1-5 ""위험/부적절한 방법"" 변수 묶기"
건강행태,비만및체중조절,obb_02c1,체중조절방법_식사조절,"1=예, 2=아니요",,Y,"1-4 ""건강한 방법"" 변수 묶기"
건강행태,비만및체중조절,obb_02k1,체중조절방법_결식,"1=예, 2=아니요",,Y,1-5
건강행태,비만및체중조절,obb_02d1,체중조절방법_무처방약물,"1=예, 2=아니요",,Y,1-5
건강행태,비만및체중조절,obb_02e1,체중조절방법_처방약물,"1=예, 2=아니요",,Y,1-6
건강행태,비만및체중조절,obb_02f1,체중조절방법_한약,"1=예, 2=아니요",,Y,1-6
건강행태,비만및체중조절,obb_02g1,체중조절방법_건강보조제,"1=예, 2=아니요",,Y,"1-6 ""의료·보조 수단"" 변수 묶기"
건강행태,비만및체중조절,obb_02h1,체중조절방법_원푸드다이어트,"1=예, 2=아니요",,Y,1-5
건강행태,비만및체중조절,obb_02i1,체중조절방법_기타,"1=예, 2=아니요",,Y,총평: 비만 및 체중조절 변수는 흡연을 체중관리와 연결하는 행동적/심리적 요인을 보여줌
이환,건강지식,cva_11z2,,,,N,
이환,건강지식,cva_12z1,,,,N,
이환,건강지식,cva_14z2,,,,N,
이환,건강지식,cva_16z2,,,,N,
이환,건강지식,cva_17z1,,,,N,
이환,건강지식,mya_10z2,,,,N,
이환,건강지식,mya_11z2,,,,N,
이환,건강지식,mya_12z2,,,,N,
이환,건강지식,mya_14z1,,,,N,
이환,건강지식,mya_15z1,,,,N,
건강행태,구강건강,ora_01z1,구강건강자기평가,"1=매우좋음, 2=좋음, 3=보통, 4=나쁨, 5=매우나쁨",,Y,2-1
건강행태,구강건강,orb_01z1,저작불편여부,"1=매우불편, 2=불편, 3=그저그렇다, 4=별로불편하지않다, 5=전혀불편하지않다",,Y,"2-1 ""구강건강"" 흡연으로 인한 구강질환, 불편감이 주관적 인식에 반영 → 흡연의 건강결과 지표."
건강행태,구강건강,ord_01d2,점심후양치여부,"1=예, 2=아니요",,Y,2-2
건강행태,구강건강,ord_05z1,점심후양치불가이유,,,Y,2-2
건강행태,구강건강,ord_01f3,저녁양치여부,"1=예, 2=아니요",,Y,"2-2 ""구강위생 습관"",변수 묶기"
건강행태,구강건강,ore_02z2,치과진료미수진경험,"1=예, 2=아니요",,Y,2-3
건강행태,구강건강,ore_03z2,치과미수진이유,"1=시간없음, 2=증상경미, 3=경제적이유, 4=교통불편/거리멀음, 5=대기가길어서, 6=몸이불편/예약어려움, 7=치료두려움, 8=기타",,Y,2-3
건강행태,구강건강,ore_07z1,스케일링경험,"1=예, 2=아니요",Sang,Y,"2-3 ""치과 진료 및 예방 관리"" 변수 묶기"
정신건강,수면시간,mtc_17z1,일일 수면시간(주중),"77. 응답거부, 99. 모름",,Y,
정신건강,수면시간,mtc_18z1,일일 수면시간(주말),"77. 응답거부, 99. 모름",,Y,
정신건강,스트레스,mta_01z1,스트레스 정도,"1=대단히 많이 느낀다, 2=많이 느끼는 편이다, 3=조금 느끼는 편이다, 4=거의 느끼지 않는다, 7=응답거부, 0=모름",,Y,2
정신건강,스트레스,mta_02z1,스트레스로 인한 상담여부,"1=예, 2=아니요, 7=응답거부, 8=비해당, 9=모름",,Y,"2-1(2번에서 1,2번 선택)"
정신건강,"슬픔, 절망감",mtb_01z1,"슬픔, 절망감 여부","1=예, 2=아니요",,Y,"3(2번에서 3,4번 선택)"
정신건강,"슬픔, 절망감",mtb_02z1,"슬픔, 절망감 상담여부","1=예, 2=아니요, 7=응답거부, 9=모름",,Y,3-1
정신건강,우울증상,mtb_07a1,일의 흥미 여부,"1=전혀아니다, 2=여러날동안, 3=일주일이상, 4=거의매일, 7=응답거부, 9=모름",,Y,
정신건강,우울증상,mtb_07b1,"가라앉는 느낌, 우울, 절망감 여부","1=전혀아니다, 2=여러날동안, 3=일주일이상, 4=거의매일, 7=응답거부, 9=모름",,Y,
정신건강,우울증상,mtb_07c1,잠들기 어렵거나 많이 잠,"1=전혀아니다, 2=여러날동안, 3=일주일이상, 4=거의매일, 7=응답거부, 9=모름",,Y,
정신건강,우울증상,mtb_07d1,"피로감, 기력저하","1=전혀아니다, 2=여러날동안, 3=일주일이상, 4=거의매일, 7=응답거부, 9=모름",,Y,
정신건강,우울증상,mtb_07e1,식용 저하 혹은 과식,"1=전혀아니다, 2=여러날동안, 3=일주일이상, 4=거의매일, 7=응답거부, 9=모름",,Y,
정신건강,우울증상,mtb_07f1,본인이 나쁜 사람이라는 느낌,"1=전혀아니다, 2=여러날동안, 3=일주일이상, 4=거의매일, 7=응답거부, 9=모름",,Y,
정신건강,우울증상,mtb_07g1,"신문, tv 집중 어려움","1=전혀아니다, 2=여러날동안, 3=일주일이상, 4=거의매일, 7=응답거부, 9=모름",,Y,
정신건강,우울증상,mtb_07h1,"거동, 언어 느림, 초조하여 안절부절 못함","1=전혀아니다, 2=여러날동안, 3=일주일이상, 4=거의매일, 7=응답거부, 9=모름",,Y,
정신건강,우울증상,mtb_07i1,자살 생각 혹은 스스로에게 상처 주는 생각,"1=전혀아니다, 2=여러날동안, 3=일주일이상, 4=거의매일, 7=응답거부, 9=모름",,Y,
정신건강,자살,mtd_01z1,자살 생각,"1=예, 2=아니요, 7=응답거부, 9=모름",,Y,5
정신건강,자살,mtd_02z1,자살 생각으로 인한 상담여부,"1=예, 2=아니요, 7=응답거부, 8=비해당, 9=모름",,Y,5-1
정신건강,수면의 질,edit_mtc_03z1,언제 잠에 드는지(시간),"77=응답거부, 99=모름",,Y,
정신건강,수면의 질,mtc_04z1,언제 잠에 드는지(분),"77=응답거부, 99=모름",,Y,위의 문항과 겹치고 오류 발생 가능(예: 1시간 58분보다 2시간 1분이 더 큰데 이로 인한 오류 발생 가능)으로 제거 요망
정신건강,수면의 질,mtc_05z1,잠에 드는데 걸리는 시간(시간),"77=응답거부, 99=모름",,Y,
정신건강,수면의 질,mtc_06z1,잠에 드는데 걸리는 시간(분),"77=응답거부, 99=모름",,Y,마찬가지로 제거 요망
정신건강,수면의 질,mtc_08z1,몇시에 일어나는지(시간),"77=응답거부, 99=모름",,Y,
정신건강,수면의 질,mtc_09z1,몇시에 일어나는지(분),"77=응답거부, 99=모름",,Y,마찬가지로 제거 요망
정신건강,수면의 질,mtc_10z1,실제로 잔 시간(시간),"77=응답거부, 99=모름",,Y,
정신건강,수면의 질,mtc_11z1,실제로 잔 시간(분),"77=응답거부, 99=모름",,Y,마찬가지로 제거 요망 -> 혹은 시간과 분을 하나의 컬럼으로 합쳐서 제공
정신건강,수면의 질,mtc_12a1,30분 이내에 잠들 수 없었는지,"1=지난 한달동안 없었다, 2=주1회 미만, 3=주1-2회, 4=주3회이상, 7=응답거부, 9=모름",,Y,
정신건강,수면의 질,mtc_12b1,중간에 깸,"1=지난 한달동안 없었다, 2=주1회 미만, 3=주1-2회, 4=주3회이상, 7=응답거부, 9=모름",,Y,
정신건강,수면의 질,mtc_12c1,화장실을 가기위해 일어남,"1=지난 한달동안 없었다, 2=주1회 미만, 3=주1-2회, 4=주3회이상, 7=응답거부, 9=모름",,Y,
정신건강,수면의 질,mtc_12d1,편안한 호흡불가,"1=지난 한달동안 없었다, 2=주1회 미만, 3=주1-2회, 4=주3회이상, 7=응답거부, 9=모름",,Y,
정신건강,수면의 질,mtc_12e1,기침or코를 곪,"1=지난 한달동안 없었다, 2=주1회 미만, 3=주1-2회, 4=주3회이상, 7=응답거부, 9=모름",,Y,
정신건강,수면의 질,mtc_12f1,잠자는데 추웠다,"1=지난 한달동안 없었다, 2=주1회 미만, 3=주1-2회, 4=주3회이상, 7=응답거부, 9=모름",,Y,
정신건강,수면의 질,mtc_12g1,잠자는데 더웠다,"1=지난 한달동안 없었다, 2=주1회 미만, 3=주1-2회, 4=주3회이상, 7=응답거부, 9=모름",,Y,
정신건강,수면의 질,mtc_12h1,나쁜꿈을 꾸었다,"1=지난 한달동안 없었다, 2=주1회 미만, 3=주1-2회, 4=주3회이상, 7=응답거부, 9=모름",,Y,
정신건강,수면의 질,mtc_12i1,통증이 있었다,"1=지난 한달동안 없었다, 2=주1회 미만, 3=주1-2회, 4=주3회이상, 7=응답거부, 9=모름",,Y,
정신건강,수면의 질,mtc_12j1,그외 다른 이유가 있었다,"1=지난 한달동안 없었다, 2=주1회 미만, 3=주1-2회, 4=주3회이상, 7=응답거부, 9=모름",,Y,직접 기입 후 번호 선택
정신건강,수면의 질,mtc_13z1,수면의 질,"1=매우 좋음, 2=상당히 좋음, 3=상담히 나쁨, 4=매우 나쁨, 7=응답거부, 9=모름",,Y,
정신건강,수면의 질,mtc_14z1,잠에 들기 위해 약 복용 여부,"1=지난 한달동안 없었다, 2=주1회 미만, 3=주1-2회, 4=주3회이상, 7=응답거부, 9=모름",,Y,
정신건강,수면의 질,mtc_15z1,"운전, 식사, 사회활동중 졸음 여부","1=지난 한달동안 없었다, 2=주1회 미만, 3=주1-2회, 4=주3회이상",,Y,
정신건강,수면의 질,mtc_16z1,일에 열중하는데 문제 여부,"1=전혀 없었다, 2=매우 조금 있었다, 3=다소 있었다, 4=매우 많이 있었다, 7=응답거부, 9=모름",,Y,
정신건강,치매 및 인지장애(만 40세 이상),mtj_05z2,정신 혼란 or 기억력이 떨어지는지,"1=예, 2=아니요, 7=응답거부, 8=비해당, 9=모름",,Y,1
정신건강,치매 및 인지장애,mtj_06z2,집안일을 못한적이 있는지,"1=항상 못했다, 2=대체로 못했다, 3=가끔 못했다, 4=거의 못한적 없다, 5=전혀 못한적 없다, 7=응답거부, 8=비해당, 9=모름",,Y,1-1
정신건강,치매 및 인지장애,mtj_09z2,"직장생활, 사회생활을 못한적이 있는지","1=항상 못했다, 2=대체로 못했다, 3=가끔 못했다, 4=거의 못한적 없다, 5=전혀 못한적 없다, 7=응답거부, 8=비해당, 9=모름",,Y,1-2
정신건강,치매 및 인지장애,mtj_10z1,상담 여부,"1=예, 2=아니요, 7=응답거부, 9=모름",,Y,1-3
정신건강,치매 및 인지장애(만 50세 이상),mtj_11z1,치매선별검사 여부,"1=예, 2=아니요, 8=비해당, 9=모름",,Y,2번 문항인 것 같은데 1번 문항으로 되어있음
예방접종및검진,,sca_01z1,,,,N,
이환,질병경험,hya_19z1,,,,N,
이환,질병경험,hya_04z1,,,,N,
이환,질병경험,hya_15z1,,,,N,
이환,질병경험,hya_14c2,,,,N,
이환,질병경험,hya_14a2,,,,N,
이환,질병경험,hya_14b2,,,,N,
이환,질병경험,hya_30z1,,,,N,
이환,질병경험,hya_10z1,,,,N,
이환,질병경험,hya_11a2,,,,N,
이환,질병경험,hya_11c2,,,,N,
이환,질병경험,hya_11d2,,,,N,
이환,당뇨병,dia_19z1,,,,N,
이환,당뇨병,dia_04z1,,,,N,
이환,당뇨병,dia_18z1,,,,N,
이환,당뇨병,dia_13c2,,,,N,
이환,당뇨병,dia_13b2,,,,N,
이환,당뇨병,dia_13a2,,,,N,
이환,당뇨병,dia_09z1,,,,N,
이환,당뇨병,dia_10a2,,,,N,
이환,당뇨병,dia_10c2,,,,N,
이환,당뇨병,dia_10d2,,,,N,
이환,당뇨병,dia_22z2,,,,N,
이환,당뇨병,dia_14z1,,,,N,
이환,당뇨병,dia_15z1,,,,N,
의료이용,,sra_01z3,,,,N,
의료이용,,sra_02z2,,,,N,
사고및중독,,ira_01z1,,,,N,
사고및중독,,ira_02z1,,,,N,
사고및중독,,i1a_04z2,,,,N,
사고및중독,,i2a_04z2,,,,N,
사고및중독,,i3a_04z2,,,,N,
사고및중독,,i4a_04z2,,,,N,
사고및중독,,i5a_04z2,,,,N,
삶의질,,qoc_07z1,,,,N,
삶의질,,qoc_01z1,,,,N,
삶의질,,qoc_02z1,,,,N,
삶의질,,qoc_03z1,,,,N,
삶의질,,qoc_04z1,,,,N,
삶의질,,qoc_05z1,,,,N,
보건기관이용,보건기관 이용여부,hma_01z3,보건기관 이용여부,"1=예, 2=아니요, 9=모름",,Y,
심폐소생술,,cpr_01z1,,,,N,
심폐소생술,,cpr_02z1,,,,N,
심폐소생술,,cpr_03a2,,,,N,
심폐소생술,,cpr_03b2,,,,N,
심폐소생술,,cpr_04z1,,,,N,
교육및경제활동,교육,sob_01z1,교육수준(최종학력),"응답자의 최종 학력 (무학, 서당/한학, 초등학교, 중학교, 고등학교, 2-3년제 대학, 4년제 대학, 대학원 이상)",ohheungjae,Y,가설 : 교육 수준이 높을수록 금연 성공률이 높게 나타남 — 건강 인식 및 자기관리 능력과 연관 가능
교육및경제활동,교육,sob_02z1,졸업상태,"해당 학교의 졸업 여부 (졸업, 수료, 중퇴, 재학/휴학중)",,Y,가설 : 19세~20대 초반 청년층의 건강행동에 영향 가능
교육및경제활동,경제활동,soa_01z1,경제활동 여부,최근 1주일간 수입목적 1시간 이상 근로 또는 18시간 이상 무급가족종사 여부 (예/아니오),,Y,가설 : 실업/비경제활동 → 스트레스↑ → 금연실패 가능성. 경제활동 안정성이 금연지속에 영향
교육및경제활동,직업,soa_06z2,직업분류(재분류),"10개 직업군 분류 (관리자, 전문가, 사무직, 서비스직, 판매직, 농림어업, 기능직, 기계조작, 단순노무, 군인)",,Y,가설 : 직종별 스트레스 환경 차이 → 금연성공률 차이. 특히 서비스/단순노무직 vs 전문직 비교 중요
교육및경제활동,직업,soa_07z1,종사상 지위,"고용형태 (고용주 및 자영업자, 임금근로자, 무급가족종사자)",,Y,가설 : 고용안정성(정규직) → 건강관리 여력↑. 자영업/무급가족종사자는 불안정성으로 금연 어려움 예상
교육및경제활동,혼인상태,sod_02z3,혼인상태,"현재 혼인 상태 (배우자 동거, 배우자 별거, 사별, 이혼, 미혼)",,Y,가설 : 배우자 유무가 금연 지지체계에 영향. 사별/이혼 → 스트레스↑ 가능성
