variable,label,code,meaning,category
soa_06z2,직업분류(재분류),10,군인(직업군인),교육경제활동
soa_06z2,직업분류(재분류),2,전문가 및 관련종사자,교육경제활동
soa_06z2,직업분류(재분류),3,사무종사자,교육경제활동
soa_06z2,직업분류(재분류),4,서비스종사자,교육경제활동
soa_06z2,직업분류(재분류),5,판매종사자,교육경제활동
soa_06z2,직업분류(재분류),6,농·임·어업종사자,교육경제활동
soa_06z2,직업분류(재분류),7,기능원 및 관련기능종사자,교육경제활동
soa_06z2,직업분류(재분류),77,응답거부,교육경제활동
soa_06z2,직업분류(재분류),8,"장치, 기계조작 및 조립종사자",교육경제활동
soa_06z2,직업분류(재분류),88,비해당,교육경제활동
soa_06z2,직업분류(재분류),9,단순노무종사자,교육경제활동
soa_06z2,직업분류(재분류),99,모름,교육경제활동
soa_07z1,종사상 지위,1,고용주 및 자영업자,교육경제활동
soa_07z1,종사상 지위,2,임금근로자,교육경제활동
soa_07z1,종사상 지위,3,무급가족종사자,교육경제활동
soa_07z1,종사상 지위,7,응답거부,교육경제활동
soa_07z1,종사상 지위,8,비해당,교육경제활동
soa_07z1,종사상 지위,9,모름,교육경제활동
sob_01z1,교육 수준,1,무학,교육경제활동
sob_01z1,교육 수준,2,서당/한학,교육경제활동
sob_01z1,교육 수준,3,초등학교,교육경제활동
sob_01z1,교육 수준,4,중학교,교육경제활동
sob_01z1,교육 수준,5,고등학교,교육경제활동
sob_01z1,교육 수준,6,2년/3년제 대학,교육경제활동
sob_01z1,교육 수준,7,4년제 대학,교육경제활동
sob_01z1,교육 수준,77,응답거부,교육경제활동
sob_01z1,교육 수준,8,대학원이상,교육경제활동
sob_01z1,교육 수준,99,모름,교육경제활동
sob_02z1,졸업 여부,1,졸업,교육경제활동
sob_02z1,졸업 여부,2,수료,교육경제활동
sob_02z1,졸업 여부,3,중퇴,교육경제활동
sob_02z1,졸업 여부,4,재학/휴학중,교육경제활동
sob_02z1,졸업 여부,7,응답거부,교육경제활동
sob_02z1,졸업 여부,8,비해당,교육경제활동
sob_02z1,졸업 여부,9,모름,교육경제활동
ora_01z1,주관적 구강건강 수준,1,매우 좋음,구강건강
ora_01z1,주관적 구강건강 수준,2,좋음,구강건강
ora_01z1,주관적 구강건강 수준,3,보통,구강건강
ora_01z1,주관적 구강건강 수준,4,나쁨,구강건강
ora_01z1,주관적 구강건강 수준,5,매우 나쁨,구강건강
ora_01z1,주관적 구강건강 수준,9,모름,구강건강
orb_01z1,저작불편 경험,1,매우 불편하다,구강건강
orb_01z1,저작불편 경험,2,불편하다,구강건강
orb_01z1,저작불편 경험,3,그저 그렇다,구강건강
orb_01z1,저작불편 경험,4,별로 불편하지 않다,구강건강
orb_01z1,저작불편 경험,5,전혀 불편하지 않다,구강건강
ord_01d2,어제 칫솔질 실천 여부_점심식사 후,1,예,구강건강
ord_01d2,어제 칫솔질 실천 여부_점심식사 후,2,아니오,구강건강
ord_01d2,어제 칫솔질 실천 여부_점심식사 후,3,어제 점심식사 하지 않음,구강건강
ord_01d2,어제 칫솔질 실천 여부_점심식사 후,7,응답거부,구강건강
ord_01d2,어제 칫솔질 실천 여부_점심식사 후,9,모름,구강건강
ord_01f3,어제 칫솔질 실천 여부_저녁식사 후/잠자기 전,1,예,구강건강
ord_01f3,어제 칫솔질 실천 여부_저녁식사 후/잠자기 전,2,아니오,구강건강
ord_01f3,어제 칫솔질 실천 여부_저녁식사 후/잠자기 전,3,어제 저녁식사 또는 잠자지 않음,구강건강
ord_01f3,어제 칫솔질 실천 여부_저녁식사 후/잠자기 전,7,응답거부,구강건강
ord_01f3,어제 칫솔질 실천 여부_저녁식사 후/잠자기 전,9,모름,구강건강
ord_05z1,점심식사 후 칫솔질 못한 사유,1,시간이 없어서,구강건강
ord_05z1,점심식사 후 칫솔질 못한 사유,2,칫솔질 할 장소가 없어서,구강건강
ord_05z1,점심식사 후 칫솔질 못한 사유,3,주변에 칫솔질 하는 사람이 없어서,구강건강
ord_05z1,점심식사 후 칫솔질 못한 사유,4,필요성을 느끼지 못해서,구강건강
ord_05z1,점심식사 후 칫솔질 못한 사유,5,기타,구강건강
ord_05z1,점심식사 후 칫솔질 못한 사유,7,응답거부,구강건강
ord_05z1,점심식사 후 칫솔질 못한 사유,8,비해당,구강건강
ord_05z1,점심식사 후 칫솔질 못한 사유,9,모름,구강건강
ore_02z2,연간 미충족의료 여부(치과),1,예,구강건강
ore_02z2,연간 미충족의료 여부(치과),2,아니오,구강건강
ore_02z2,연간 미충족의료 여부(치과),3,필요한 적 없음,구강건강
ore_02z2,연간 미충족의료 여부(치과),7,응답거부,구강건강
ore_02z2,연간 미충족의료 여부(치과),9,모름,구강건강
ore_03z2,연간 미충족의료 이유(치과),1,시간이 없어서,구강건강
ore_03z2,연간 미충족의료 이유(치과),2,증세가 가벼워서,구강건강
ore_03z2,연간 미충족의료 이유(치과),3,경제적인 이유,구강건강
ore_03z2,연간 미충족의료 이유(치과),4,교통 불편/거리 멀어서,구강건강
ore_03z2,연간 미충족의료 이유(치과),5,병의원 대기 시간 길어서,구강건강
ore_03z2,연간 미충족의료 이유(치과),6,예약하기 어려워서,구강건강
ore_03z2,연간 미충족의료 이유(치과),7,진료가 무서워서,구강건강
ore_03z2,연간 미충족의료 이유(치과),77,응답거부,구강건강
ore_03z2,연간 미충족의료 이유(치과),8,기타,구강건강
ore_03z2,연간 미충족의료 이유(치과),88,비해당,구강건강
ore_03z2,연간 미충족의료 이유(치과),99,모름,구강건강
ore_07z1,연간 스케일링(치석제거) 경험 여부,1,예,구강건강
ore_07z1,연간 스케일링(치석제거) 경험 여부,2,아니오,구강건강
ore_07z1,연간 스케일링(치석제거) 경험 여부,7,응답거부,구강건강
ore_07z1,연간 스케일링(치석제거) 경험 여부,9,모름,구강건강
age,만나이,,19~110세,기본정보
ctprvn_code,시도번호,11,서울,기본정보
ctprvn_code,시도번호,26,부산,기본정보
ctprvn_code,시도번호,27,대구,기본정보
ctprvn_code,시도번호,28,인천,기본정보
ctprvn_code,시도번호,29,광주,기본정보
ctprvn_code,시도번호,30,대전,기본정보
ctprvn_code,시도번호,31,울산,기본정보
ctprvn_code,시도번호,36,세종,기본정보
ctprvn_code,시도번호,41,경기,기본정보
ctprvn_code,시도번호,42,강원,기본정보
ctprvn_code,시도번호,43,충북,기본정보
ctprvn_code,시도번호,44,충남,기본정보
ctprvn_code,시도번호,45,전북,기본정보
ctprvn_code,시도번호,46,전남,기본정보
ctprvn_code,시도번호,47,경북,기본정보
ctprvn_code,시도번호,48,경남,기본정보
ctprvn_code,시도번호,50,제주,기본정보
dong_ty_code,동읍면구분,1,동,기본정보
dong_ty_code,동읍면구분,2,읍면,기본정보
examin_year,조사연도,2024,2024년,기본정보
exmprs_no,조사대상자번호,,EXAMIN_YEAR+CTPRVN_CODE+PBHLTH_CODE+SPOT_NO+HSHLD_CODE+MBHLD_CODE,기본정보
house_ty_code,주택유형,1,일반주택,기본정보
house_ty_code,주택유형,2,아파트,기본정보
hshld_code,가구번호,,가구 식별 번호,기본정보
kstrata,층화변수,,동/읍·면 × 주택유형 분산추정층,기본정보
mbhld_code,가구원번호,,가구 내 개인 식별 번호,기본정보
pbhlth_code,보건소번호,,보건소 코드(별도 파일 참조),기본정보
sex,성별,1,남자,기본정보
sex,성별,2,여자,기본정보
signgu_code,행정기관코드,,행정기관코드 앞 5자리,기본정보
spot_no,표본지점번호,,표본지점 번호,기본정보
wt_h,가구가중치,,가구조사 가중치,기본정보
wt_p,개인가중치,,개인조사 가중치(성/연령 보정),기본정보
hma_01z3,보건기관 이용 여부,1,예,기타
hma_01z3,보건기관 이용 여부,2,아니오,기타
hma_01z3,보건기관 이용 여부,9,모름,기타
oba_01z1,본인 인지 체형,1,매우 마른 편임,비만체중조절
oba_01z1,본인 인지 체형,2,약간 마른 편임,비만체중조절
oba_01z1,본인 인지 체형,3,보통임,비만체중조절
oba_01z1,본인 인지 체형,4,약간 비만임,비만체중조절
oba_01z1,본인 인지 체형,5,매우 비만임,비만체중조절
oba_01z1,본인 인지 체형,7,응답거부,비만체중조절
oba_01z1,본인 인지 체형,9,모름,비만체중조절
oba_02z1,키(cm),,cm(소수1자리),비만체중조절
oba_02z1,키(cm),777,응답거부,비만체중조절
oba_02z1,키(cm),999,모름,비만체중조절
oba_03z1,몸무게(kg),,kg(소수1자리),비만체중조절
oba_03z1,몸무게(kg),777,응답거부,비만체중조절
oba_03z1,몸무게(kg),999,모름,비만체중조절
obb_01z1,체중조절 경험 여부,1,몸무게를 줄이려고 노력했다,비만체중조절
obb_01z1,체중조절 경험 여부,2,몸무게를 유지하려고 노력했다,비만체중조절
obb_01z1,체중조절 경험 여부,3,몸무게를 늘리려고 노력했다,비만체중조절
obb_01z1,체중조절 경험 여부,4,몸무게를 조절하기 위해 노력해 본 적 없다,비만체중조절
obb_01z1,체중조절 경험 여부,7,응답거부,비만체중조절
obb_01z1,체중조절 경험 여부,9,모름,비만체중조절
obb_02a1,체중조절방법_운동,1,예,비만체중조절
obb_02a1,체중조절방법_운동,2,아니오,비만체중조절
obb_02a1,체중조절방법_운동,7,응답거부,비만체중조절
obb_02a1,체중조절방법_운동,8,비해당,비만체중조절
obb_02a1,체중조절방법_운동,9,모름,비만체중조절
obb_02b1,체중조절방법_단식,1,예,비만체중조절
obb_02b1,체중조절방법_단식,2,아니오,비만체중조절
obb_02b1,체중조절방법_단식,7,응답거부,비만체중조절
obb_02b1,체중조절방법_단식,8,비해당,비만체중조절
obb_02b1,체중조절방법_단식,9,모름,비만체중조절
obb_02c1,체중조절방법_식사량 감소,1,예,비만체중조절
obb_02c1,체중조절방법_식사량 감소,2,아니오,비만체중조절
obb_02c1,체중조절방법_식사량 감소,7,응답거부,비만체중조절
obb_02c1,체중조절방법_식사량 감소,8,비해당,비만체중조절
obb_02c1,체중조절방법_식사량 감소,9,모름,비만체중조절
obb_02d1,체중조절방법_임의약 복용,1,예,비만체중조절
obb_02d1,체중조절방법_임의약 복용,2,아니오,비만체중조절
obb_02d1,체중조절방법_임의약 복용,7,응답거부,비만체중조절
obb_02d1,체중조절방법_임의약 복용,8,비해당,비만체중조절
obb_02d1,체중조절방법_임의약 복용,9,모름,비만체중조절
obb_02e1,체중조절방법_의사처방약 복용,1,예,비만체중조절
obb_02e1,체중조절방법_의사처방약 복용,2,아니오,비만체중조절
obb_02e1,체중조절방법_의사처방약 복용,7,응답거부,비만체중조절
obb_02e1,체중조절방법_의사처방약 복용,8,비해당,비만체중조절
obb_02e1,체중조절방법_의사처방약 복용,9,모름,비만체중조절
obb_02f1,체중조절방법_한약 복용,1,예,비만체중조절
obb_02f1,체중조절방법_한약 복용,2,아니오,비만체중조절
obb_02f1,체중조절방법_한약 복용,7,응답거부,비만체중조절
obb_02f1,체중조절방법_한약 복용,8,비해당,비만체중조절
obb_02f1,체중조절방법_한약 복용,9,모름,비만체중조절
obb_02g1,체중조절방법_건강기능식품,1,예,비만체중조절
obb_02g1,체중조절방법_건강기능식품,2,아니오,비만체중조절
obb_02g1,체중조절방법_건강기능식품,7,응답거부,비만체중조절
obb_02g1,체중조절방법_건강기능식품,8,비해당,비만체중조절
obb_02g1,체중조절방법_건강기능식품,9,모름,비만체중조절
obb_02h1,체중조절방법_원푸드,1,예,비만체중조절
obb_02h1,체중조절방법_원푸드,2,아니오,비만체중조절
obb_02h1,체중조절방법_원푸드,7,응답거부,비만체중조절
obb_02h1,체중조절방법_원푸드,8,비해당,비만체중조절
obb_02h1,체중조절방법_원푸드,9,모름,비만체중조절
obb_02i1,체중조절방법_기타,1,예,비만체중조절
obb_02i1,체중조절방법_기타,2,아니오,비만체중조절
obb_02i1,체중조절방법_기타,7,응답거부,비만체중조절
obb_02i1,체중조절방법_기타,8,비해당,비만체중조절
obb_02i1,체중조절방법_기타,9,모름,비만체중조절
obb_02k1,체중조절방법_결식,1,예,비만체중조절
obb_02k1,체중조절방법_결식,2,아니오,비만체중조절
obb_02k1,체중조절방법_결식,7,응답거부,비만체중조절
obb_02k1,체중조절방법_결식,8,비해당,비만체중조절
obb_02k1,체중조절방법_결식,9,모름,비만체중조절
nua_01z2,연간 일주일 아침식사 일수,1,주 5~7회,식생활
nua_01z2,연간 일주일 아침식사 일수,2,주 3~4회,식생활
nua_01z2,연간 일주일 아침식사 일수,3,주 1~2회,식생활
nua_01z2,연간 일주일 아침식사 일수,4,거의 안한다(주 0회),식생활
nuc_01z2,영양표시 독해 여부,1,예,식생활
nuc_01z2,영양표시 독해 여부,2,아니오,식생활
nuc_01z2,영양표시 독해 여부,7,응답거부,식생활
nuc_01z2,영양표시 독해 여부,8,비해당,식생활
nuc_01z2,영양표시 독해 여부,9,모름,식생활
nuc_02z1,영양표시 인지 여부,1,예,식생활
nuc_02z1,영양표시 인지 여부,2,아니오,식생활
nuc_02z1,영양표시 인지 여부,7,응답거부,식생활
nuc_02z1,영양표시 인지 여부,9,모름,식생활
nuc_03z1,영양표시 활용 여부,1,예,식생활
nuc_03z1,영양표시 활용 여부,2,아니오,식생활
nuc_03z1,영양표시 활용 여부,7,응답거부,식생활
nuc_03z1,영양표시 활용 여부,8,비해당,식생활
nuc_03z1,영양표시 활용 여부,9,모름,식생활
pha_04z1,고강도 신체활동 일수,,일수(정수),신체활동
pha_04z1,고강도 신체활동 일수,7,응답거부,신체활동
pha_04z1,고강도 신체활동 일수,9,모름,신체활동
pha_05z1,고강도 신체활동 시간(시),,시간(정수),신체활동
pha_05z1,고강도 신체활동 시간(시),77,응답거부,신체활동
pha_05z1,고강도 신체활동 시간(시),88,비해당,신체활동
pha_05z1,고강도 신체활동 시간(시),99,모름,신체활동
pha_06z1,고강도 신체활동 시간(분),,분(정수),신체활동
pha_06z1,고강도 신체활동 시간(분),77,응답거부,신체활동
pha_06z1,고강도 신체활동 시간(분),88,비해당,신체활동
pha_06z1,고강도 신체활동 시간(분),99,모름,신체활동
pha_07z1,중강도 신체활동 일수,,일수(정수),신체활동
pha_07z1,중강도 신체활동 일수,7,응답거부,신체활동
pha_07z1,중강도 신체활동 일수,9,모름,신체활동
pha_08z1,중강도 신체활동 시간(시),,시간(정수),신체활동
pha_08z1,중강도 신체활동 시간(시),77,응답거부,신체활동
pha_08z1,중강도 신체활동 시간(시),88,비해당,신체활동
pha_08z1,중강도 신체활동 시간(시),99,모름,신체활동
pha_09z1,중강도 신체활동 시간(분),,분(정수),신체활동
pha_09z1,중강도 신체활동 시간(분),77,응답거부,신체활동
pha_09z1,중강도 신체활동 시간(분),88,비해당,신체활동
pha_09z1,중강도 신체활동 시간(분),99,모름,신체활동
pha_10z1,최근 1주일 유연성 운동 실천,1,전혀 하지 않음,신체활동
pha_10z1,최근 1주일 유연성 운동 실천,2,1일,신체활동
pha_10z1,최근 1주일 유연성 운동 실천,3,2일,신체활동
pha_10z1,최근 1주일 유연성 운동 실천,4,3일,신체활동
pha_10z1,최근 1주일 유연성 운동 실천,5,4일,신체활동
pha_10z1,최근 1주일 유연성 운동 실천,6,5일 이상,신체활동
pha_10z1,최근 1주일 유연성 운동 실천,9,모름,신체활동
phb_01z1,걷기 실천 일수,,일수(정수),신체활동
phb_01z1,걷기 실천 일수,7,응답거부,신체활동
phb_01z1,걷기 실천 일수,9,모름,신체활동
phb_02z1,걷기 실천 시간(시),,시간(정수),신체활동
phb_02z1,걷기 실천 시간(시),77,응답거부,신체활동
phb_02z1,걷기 실천 시간(시),88,비해당,신체활동
phb_02z1,걷기 실천 시간(시),99,모름,신체활동
phb_03z1,걷기 실천 시간(분),,분(정수),신체활동
phb_03z1,걷기 실천 시간(분),77,응답거부,신체활동
phb_03z1,걷기 실천 시간(분),88,비해당,신체활동
phb_03z1,걷기 실천 시간(분),99,모름,신체활동
dra_01z1,평생 음주 여부,1,예,음주
dra_01z1,평생 음주 여부,2,아니오,음주
dra_01z1,평생 음주 여부,7,응답거부,음주
dra_01z1,평생 음주 여부,9,모름,음주
drb_01z3,연간 음주 빈도,1,최근 1년간 전혀 마시지 않았다,음주
drb_01z3,연간 음주 빈도,2,한 달에 1번 미만,음주
drb_01z3,연간 음주 빈도,3,한 달에 1번 정도,음주
drb_01z3,연간 음주 빈도,4,한 달에 2~4번 정도,음주
drb_01z3,연간 음주 빈도,5,일주일에 2~3번 정도,음주
drb_01z3,연간 음주 빈도,6,일주일에 4번 이상,음주
drb_01z3,연간 음주 빈도,7,응답거부,음주
drb_01z3,연간 음주 빈도,8,비해당,음주
drb_01z3,연간 음주 빈도,9,모름,음주
drb_03z1,한 번 섭취 시 음주량,1,1~2잔,음주
drb_03z1,한 번 섭취 시 음주량,2,3~4잔,음주
drb_03z1,한 번 섭취 시 음주량,3,5~6잔,음주
drb_03z1,한 번 섭취 시 음주량,4,7~9잔,음주
drb_03z1,한 번 섭취 시 음주량,5,10잔 이상,음주
drb_03z1,한 번 섭취 시 음주량,7,응답거부,음주
drb_03z1,한 번 섭취 시 음주량,8,비해당,음주
drb_03z1,한 번 섭취 시 음주량,9,모름,음주
drb_04z1,월간 폭음 경험(남),1,전혀 없다,음주
drb_04z1,월간 폭음 경험(남),2,한 달에 1번 미만,음주
drb_04z1,월간 폭음 경험(남),3,한 달에 1번 정도,음주
drb_04z1,월간 폭음 경험(남),4,일주일에 1번 정도,음주
drb_04z1,월간 폭음 경험(남),5,거의 매일,음주
drb_04z1,월간 폭음 경험(남),7,응답거부,음주
drb_04z1,월간 폭음 경험(남),8,비해당,음주
drb_04z1,월간 폭음 경험(남),9,모름,음주
drb_05z1,월간 폭음 경험(여),1,전혀 없다,음주
drb_05z1,월간 폭음 경험(여),2,한 달에 1번 미만,음주
drb_05z1,월간 폭음 경험(여),3,한 달에 1번 정도,음주
drb_05z1,월간 폭음 경험(여),4,일주일에 1번 정도,음주
drb_05z1,월간 폭음 경험(여),5,거의 매일,음주
drb_05z1,월간 폭음 경험(여),7,응답거부,음주
drb_05z1,월간 폭음 경험(여),8,비해당,음주
drb_05z1,월간 폭음 경험(여),9,모름,음주
drb_16z1,10잔 이상 섭취 시 음주량,,잔(정수),음주
drb_16z1,10잔 이상 섭취 시 음주량,77,응답거부,음주
drb_16z1,10잔 이상 섭취 시 음주량,88,비해당,음주
drb_16z1,10잔 이상 섭취 시 음주량,99,모름,음주
dre_03z1,음주폐해 예방/절주 홍보 경험,1,예,음주
dre_03z1,음주폐해 예방/절주 홍보 경험,2,아니오,음주
dre_03z1,음주폐해 예방/절주 홍보 경험,7,응답거부,음주
dre_03z1,음주폐해 예방/절주 홍보 경험,9,모름,음주
dre_04z1,음주폐해 예방/절주 교육 경험,1,예,음주
dre_04z1,음주폐해 예방/절주 교육 경험,2,아니오,음주
dre_04z1,음주폐해 예방/절주 교육 경험,9,모름,음주
drg_01z3,절주 또는 금주계획 여부,1,현재 전혀 계획 없음,음주
drg_01z3,절주 또는 금주계획 여부,2,향후 6개월 이내 계획,음주
drg_01z3,절주 또는 금주계획 여부,3,향후 1개월 이내 계획,음주
drg_01z3,절주 또는 금주계획 여부,4,현재 실천 중(6개월 미만),음주
drg_01z3,절주 또는 금주계획 여부,5,현재 실천 중(6개월 이상),음주
drg_01z3,절주 또는 금주계획 여부,7,응답거부,음주
drg_01z3,절주 또는 금주계획 여부,8,비해당,음주
drg_01z3,절주 또는 금주계획 여부,9,모름,음주
mta_01z1,주관적 스트레스 수준,1,대단히 많이 느낀다,정신건강
mta_01z1,주관적 스트레스 수준,2,많이 느끼는 편이다,정신건강
mta_01z1,주관적 스트레스 수준,3,조금 느끼는 편이다,정신건강
mta_01z1,주관적 스트레스 수준,4,거의 느끼지 않는다,정신건강
mta_01z1,주관적 스트레스 수준,7,응답거부,정신건강
mta_01z1,주관적 스트레스 수준,9,모름,정신건강
mta_02z1,스트레스로 인한 정신상담 여부,1,예,정신건강
mta_02z1,스트레스로 인한 정신상담 여부,2,아니오,정신건강
mta_02z1,스트레스로 인한 정신상담 여부,7,응답거부,정신건강
mta_02z1,스트레스로 인한 정신상담 여부,8,비해당,정신건강
mta_02z1,스트레스로 인한 정신상담 여부,9,모름,정신건강
mtb_01z1,우울감 경험 여부,1,예,정신건강
mtb_01z1,우울감 경험 여부,2,아니오,정신건강
mtb_01z1,우울감 경험 여부,7,응답거부,정신건강
mtb_01z1,우울감 경험 여부,9,모름,정신건강
mtb_02z1,우울증상으로 인한 정신상담 여부,1,예,정신건강
mtb_02z1,우울증상으로 인한 정신상담 여부,2,아니오,정신건강
mtb_02z1,우울증상으로 인한 정신상담 여부,7,응답거부,정신건강
mtb_02z1,우울증상으로 인한 정신상담 여부,8,비해당,정신건강
mtb_02z1,우울증상으로 인한 정신상담 여부,9,모름,정신건강
mtb_07a1,우울증상유병_일에 대한 흥미나 재미 없음,1,전혀 아니다,정신건강
mtb_07a1,우울증상유병_일에 대한 흥미나 재미 없음,2,여러 날 동안,정신건강
mtb_07a1,우울증상유병_일에 대한 흥미나 재미 없음,3,일주일 이상,정신건강
mtb_07a1,우울증상유병_일에 대한 흥미나 재미 없음,4,거의 매일,정신건강
mtb_07a1,우울증상유병_일에 대한 흥미나 재미 없음,7,응답거부,정신건강
mtb_07a1,우울증상유병_일에 대한 흥미나 재미 없음,9,모름,정신건강
mtb_07b1,우울증상유병_우울감 혹은 절망감,1,전혀 아니다,정신건강
mtb_07b1,우울증상유병_우울감 혹은 절망감,2,여러 날 동안,정신건강
mtb_07b1,우울증상유병_우울감 혹은 절망감,3,일주일 이상,정신건강
mtb_07b1,우울증상유병_우울감 혹은 절망감,4,거의 매일,정신건강
mtb_07b1,우울증상유병_우울감 혹은 절망감,7,응답거부,정신건강
mtb_07b1,우울증상유병_우울감 혹은 절망감,9,모름,정신건강
mtb_07c1,우울증상유병_잠들기 어렵거나 많이 잠,1,전혀 아니다,정신건강
mtb_07c1,우울증상유병_잠들기 어렵거나 많이 잠,2,여러 날 동안,정신건강
mtb_07c1,우울증상유병_잠들기 어렵거나 많이 잠,3,일주일 이상,정신건강
mtb_07c1,우울증상유병_잠들기 어렵거나 많이 잠,4,거의 매일,정신건강
mtb_07c1,우울증상유병_잠들기 어렵거나 많이 잠,7,응답거부,정신건강
mtb_07c1,우울증상유병_잠들기 어렵거나 많이 잠,9,모름,정신건강
mtb_07d1,"우울증상유병_피로감, 기력저하",1,전혀 아니다,정신건강
mtb_07d1,"우울증상유병_피로감, 기력저하",2,여러 날 동안,정신건강
mtb_07d1,"우울증상유병_피로감, 기력저하",3,일주일 이상,정신건강
mtb_07d1,"우울증상유병_피로감, 기력저하",4,거의 매일,정신건강
mtb_07d1,"우울증상유병_피로감, 기력저하",7,응답거부,정신건강
mtb_07d1,"우울증상유병_피로감, 기력저하",9,모름,정신건강
mtb_07e1,우울증상유병_식욕 저하 혹은 과식,1,전혀 아니다,정신건강
mtb_07e1,우울증상유병_식욕 저하 혹은 과식,2,여러 날 동안,정신건강
mtb_07e1,우울증상유병_식욕 저하 혹은 과식,3,일주일 이상,정신건강
mtb_07e1,우울증상유병_식욕 저하 혹은 과식,4,거의 매일,정신건강
mtb_07e1,우울증상유병_식욕 저하 혹은 과식,7,응답거부,정신건강
mtb_07e1,우울증상유병_식욕 저하 혹은 과식,9,모름,정신건강
mtb_07f1,우울증상유병_내 자신이 나쁜 사람이라는 느낌,1,전혀 아니다,정신건강
mtb_07f1,우울증상유병_내 자신이 나쁜 사람이라는 느낌,2,여러 날 동안,정신건강
mtb_07f1,우울증상유병_내 자신이 나쁜 사람이라는 느낌,3,일주일 이상,정신건강
mtb_07f1,우울증상유병_내 자신이 나쁜 사람이라는 느낌,4,거의 매일,정신건강
mtb_07f1,우울증상유병_내 자신이 나쁜 사람이라는 느낌,7,응답거부,정신건강
mtb_07f1,우울증상유병_내 자신이 나쁜 사람이라는 느낌,9,모름,정신건강
mtb_07g1,우울증상유병_신문/TV 집중 어려움,1,전혀 아니다,정신건강
mtb_07g1,우울증상유병_신문/TV 집중 어려움,2,여러 날 동안,정신건강
mtb_07g1,우울증상유병_신문/TV 집중 어려움,3,일주일 이상,정신건강
mtb_07g1,우울증상유병_신문/TV 집중 어려움,4,거의 매일,정신건강
mtb_07g1,우울증상유병_신문/TV 집중 어려움,7,응답거부,정신건강
mtb_07g1,우울증상유병_신문/TV 집중 어려움,9,모름,정신건강
mtb_07h1,우울증상유병_거동이나 말이 느림,1,전혀 아니다,정신건강
mtb_07h1,우울증상유병_거동이나 말이 느림,2,여러 날 동안,정신건강
mtb_07h1,우울증상유병_거동이나 말이 느림,3,일주일 이상,정신건강
mtb_07h1,우울증상유병_거동이나 말이 느림,4,거의 매일,정신건강
mtb_07h1,우울증상유병_거동이나 말이 느림,7,응답거부,정신건강
mtb_07h1,우울증상유병_거동이나 말이 느림,9,모름,정신건강
mtb_07i1,우울증상유병_죽는 것이 낫겠다는 생각,1,전혀 아니다,정신건강
mtb_07i1,우울증상유병_죽는 것이 낫겠다는 생각,2,여러 날 동안,정신건강
mtb_07i1,우울증상유병_죽는 것이 낫겠다는 생각,3,일주일 이상,정신건강
mtb_07i1,우울증상유병_죽는 것이 낫겠다는 생각,4,거의 매일,정신건강
mtb_07i1,우울증상유병_죽는 것이 낫겠다는 생각,7,응답거부,정신건강
